epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71938,0.78421,2.81407,1.03033,0.9259,0.40104,0.51003,0.44846,0.55491,1.21116,0.86265,1.667e-05,1.667e-05,1.667e-05
2,5.587,0.79639,2.90578,1.03591,0.90481,0.40104,0.49019,0.43074,0.55731,1.23287,0.86334,4.95149e-05,4.95149e-05,4.95149e-05
3,6.43089,0.78729,2.60386,1.04683,0.90121,0.38075,0.47679,0.42029,0.55986,1.24843,0.86396,8.16997e-05,8.16997e-05,8.16997e-05
4,7.29737,0.68814,1.75234,0.95488,0.69368,0.83852,0.84283,0.70324,0.52269,2.60039,0.86188,0.000113224,0.000113224,0.000113224
5,9.16782,0.59545,0.6776,0.85836,0.76831,0.83469,0.88356,0.75318,0.52471,1.3264,0.8582,0.000144089,0.000144089,0.000144089
6,11.0454,0.58492,0.45824,0.86017,0.71178,0.74733,0.75801,0.6478,0.56795,1.70333,0.86276,0.000174293,0.000174293,0.000174293
7,12.2555,0.6141,0.42904,0.86019,0.79692,0.75921,0.80459,0.6825,0.55921,1.6589,0.86907,0.000203837,0.000203837,0.000203837
8,13.4672,0.64428,0.46393,0.92679,0.83961,0.8579,0.93538,0.79332,0.5322,1.24711,0.86669,0.000232722,0.000232722,0.000232722
9,15.322,0.60647,0.44292,0.88423,0.86369,0.88908,0.952,0.80969,0.53696,1.36443,0.86669,0.000260946,0.000260946,0.000260946
10,17.1852,0.61006,0.42288,0.89675,0.89708,0.99479,0.96613,0.81246,0.56556,1.27073,0.87445,0.000288509,0.000288509,0.000288509
11,19.0402,0.59521,0.4171,0.87426,0.91545,0.99479,0.97863,0.83252,0.548,0.96931,0.86689,0.000315413,0.000315413,0.000315413
12,20.8954,0.56548,0.40632,0.87391,0.78967,0.98958,0.95984,0.81144,0.57294,1.2444,0.87286,0.000341657,0.000341657,0.000341657
13,22.0861,0.60579,0.39387,0.89482,0.76446,0.99315,0.9426,0.80559,0.53729,1.11354,0.8628,0.00036724,0.00036724,0.00036724
14,23.279,0.56973,0.36715,0.87737,0.93191,0.99479,0.96254,0.8402,0.52316,0.78654,0.85941,0.000392163,0.000392163,0.000392163
15,25.1569,0.57671,0.37643,0.8759,0.9104,0.98958,0.9696,0.83394,0.53014,0.63553,0.86132,0.000416427,0.000416427,0.000416427
16,26.3485,0.58374,0.39665,0.86448,0.87916,0.97396,0.9717,0.82725,0.56441,0.65204,0.87605,0.00044003,0.00044003,0.00044003
17,27.539,0.60317,0.36835,0.8743,0.85522,0.94792,0.9568,0.80362,0.58304,0.66409,0.89148,0.000462973,0.000462973,0.000462973
18,28.7544,0.54741,0.39425,0.86554,0.78409,0.86458,0.93868,0.78373,0.56247,0.69694,0.87835,0.000485255,0.000485255,0.000485255
19,29.9091,0.52973,0.40517,0.87869,0.45513,0.82292,0.65164,0.5372,0.56598,1.42344,0.87614,0.000506878,0.000506878,0.000506878
20,31.1005,0.59697,0.45072,0.87367,0.83834,0.94792,0.96092,0.77168,0.57392,0.52531,0.87491,0.000527841,0.000527841,0.000527841
21,32.2994,0.58356,0.36935,0.87278,0.88948,0.88542,0.94417,0.7347,0.63936,0.53199,0.89651,0.000548143,0.000548143,0.000548143
22,33.4868,0.57535,0.39027,0.87162,0.79838,0.80473,0.8627,0.66791,0.63474,0.61863,0.89629,0.000567785,0.000567785,0.000567785
23,34.6722,0.56841,0.39385,0.87164,0.72887,0.74068,0.79038,0.56506,0.64603,0.61539,0.91033,0.000586767,0.000586767,0.000586767
